City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Russell,US,2020-11-24 23:24:13,32.35,-85.2,60.8,62,1,4.5
173,Dali,CN,2020-11-24 23:24:13,25.7,100.18,44.47,83,1,2.62
174,Lebu,CL,2020-11-24 23:24:13,-37.62,-73.65,58.12,80,9,3.85
175,Ilulissat,GL,2020-11-24 23:24:14,69.22,-51.1,19.4,52,99,32.21
176,Hasaki,JP,2020-11-24 23:20:16,35.73,140.83,50.0,93,75,14.99
177,Nouakchott,MR,2020-11-24 23:24:14,18.09,-15.98,75.2,15,99,8.05
178,Mariental,NA,2020-11-24 23:24:14,-24.63,17.97,73.4,23,11,3.36
179,Aklavik,CA,2020-11-24 23:24:14,68.22,-135.01,1.4,84,90,3.36
180,Ravar,IR,2020-11-24 23:24:14,31.27,56.81,45.3,59,0,0.76
181,Yarada,IN,2020-11-24 23:24:14,17.65,83.27,75.2,73,75,8.05
182,Aykhal,RU,2020-11-24 23:24:14,66.0,111.5,-0.4,84,0,4.47
183,Chimoio,MZ,2020-11-24 23:24:14,-19.12,33.48,78.01,94,20,5.82
184,Esperance,AU,2020-11-24 23:24:14,-33.87,121.9,60.8,77,90,17.22
185,Diamantino,BR,2020-11-24 23:24:15,-14.41,-56.45,81.91,64,39,3.69
186,Susa,TN,2020-11-24 23:21:08,35.83,10.64,62.6,77,20,11.41
187,Altay,CN,2020-11-24 23:24:15,47.87,88.12,10.49,62,39,3.78
188,Numan,NG,2020-11-24 23:24:15,9.47,12.03,79.65,32,100,2.26
189,Arroio Grande,BR,2020-11-24 23:24:15,-32.24,-53.09,82.99,41,26,8.01
190,Tongliao,CN,2020-11-24 23:24:15,43.61,122.27,14.72,94,76,7.74
191,Doha,QA,2020-11-24 23:24:15,25.29,51.53,68.0,72,0,8.05
192,Torbay,CA,2020-11-24 23:21:57,47.67,-52.73,37.99,81,90,35.57
193,Santo Antonio Do Ica,BR,2020-11-24 23:24:15,-3.1,-67.94,76.59,95,99,2.66
194,Yenagoa,NG,2020-11-24 23:19:19,4.92,6.26,76.73,93,100,3.65
195,Domoni,KM,2020-11-24 23:24:15,-12.26,44.53,77.58,82,1,7.87
196,Ambilobe,MG,2020-11-24 23:24:15,-13.2,49.05,73.96,74,4,3.53
197,Boca Do Acre,BR,2020-11-24 23:24:15,-8.75,-67.4,77.11,91,59,1.25
198,Kaeo,NZ,2020-11-24 23:24:16,-35.1,173.78,68.0,91,70,21.0
199,Tra Vinh,VN,2020-11-24 23:24:16,9.93,106.35,74.86,87,99,6.46
200,Tchaourou,BJ,2020-11-24 23:24:16,8.89,2.6,78.46,35,52,1.21
201,Ucluelet,CA,2020-11-24 23:24:16,48.93,-125.55,44.6,87,75,2.24
202,Yellowknife,CA,2020-11-24 23:24:16,62.46,-114.35,15.8,85,90,10.29
203,Mecca,SA,2020-11-24 23:21:01,21.43,39.83,73.89,67,0,1.81
204,Sobolevo,RU,2020-11-24 23:24:16,54.43,31.9,34.77,95,100,8.14
205,Waipawa,NZ,2020-11-24 23:24:16,-41.41,175.52,57.99,93,100,8.05
206,Bilibino,RU,2020-11-24 23:24:16,68.05,166.44,-4.23,89,99,2.15
207,Shangrao,CN,2020-11-24 23:24:17,28.45,117.97,52.03,89,89,3.47
208,Kholmsk,RU,2020-11-24 23:24:17,47.05,142.06,30.2,58,75,6.71
209,Severo-Kurilsk,RU,2020-11-24 23:24:17,50.68,156.12,29.37,94,89,31.21
210,Viedma,AR,2020-11-24 23:20:25,-40.81,-63.0,64.99,43,1,18.81
211,Mollendo,PE,2020-11-24 23:24:17,-17.02,-72.01,63.34,75,87,5.32
212,Burnie,AU,2020-11-24 23:24:17,-41.07,145.92,61.0,85,95,8.99
213,Felipe Carrillo Puerto,MX,2020-11-24 23:24:17,19.58,-88.05,75.83,91,19,3.94
214,Athens,GR,2020-11-24 23:24:12,37.98,23.72,54.0,56,81,5.01
215,Archena,ES,2020-11-24 23:24:17,38.12,-1.3,51.01,83,34,1.01
216,Flinders,AU,2020-11-24 23:20:11,-34.58,150.86,69.01,82,98,1.01
217,Muros,ES,2020-11-24 23:24:18,42.78,-9.06,54.0,92,99,3.0
218,Castlemaine,AU,2020-11-24 23:22:45,-37.07,144.22,71.01,55,0,4.99
219,Kathmandu,NP,2020-11-24 23:24:18,27.72,85.32,47.73,76,15,0.67
220,Cornwall,CA,2020-11-24 23:24:18,45.02,-74.73,23.0,73,1,1.16
221,Nikel,RU,2020-11-24 23:24:18,69.41,30.22,26.6,92,28,3.36
222,Kirkenes,NO,2020-11-24 23:24:18,69.73,30.05,30.2,92,85,3.36
223,Micheweni,TZ,2020-11-24 23:24:18,-4.97,39.83,79.05,84,2,4.81
224,Takoradi,GH,2020-11-24 23:24:18,4.88,-1.76,79.21,85,10,7.99
225,Springbok,ZA,2020-11-24 23:24:18,-29.66,17.89,45.43,95,0,4.81
226,Khatanga,RU,2020-11-24 23:24:18,71.97,102.5,9.21,96,99,5.97
227,Okha,RU,2020-11-24 23:21:01,53.57,142.95,17.53,96,100,18.88
228,Iqaluit,CA,2020-11-24 23:24:19,63.75,-68.51,1.4,77,75,8.05
229,Hailar,CN,2020-11-24 23:24:19,49.2,119.7,7.72,93,13,5.21
230,Nchelenge,ZM,2020-11-24 23:24:19,-9.35,28.73,74.19,78,44,8.81
231,Ormara,PK,2020-11-24 23:24:19,25.21,64.64,70.48,81,22,18.68
232,Luganville,VU,2020-11-24 23:24:19,-15.53,167.17,86.0,70,40,3.36
233,Banda Aceh,ID,2020-11-24 23:24:19,5.56,95.32,78.78,79,40,10.18
234,Arman,RU,2020-11-24 23:24:19,59.7,150.17,-0.8,84,4,8.57
235,Angoche,MZ,2020-11-24 23:24:19,-16.23,39.91,80.6,71,32,10.85
236,Gat,IL,2020-11-24 23:24:00,31.61,34.76,60.8,72,0,3.36
237,Isangel,VU,2020-11-24 23:20:17,-19.55,169.27,86.0,66,75,6.93
238,Chulucanas,PE,2020-11-24 23:19:24,-5.09,-80.16,77.18,49,34,15.64
239,Kulhudhuffushi,MV,2020-11-24 23:24:19,6.62,73.07,81.27,64,77,4.76
240,Kitui,KE,2020-11-24 23:24:20,-1.37,38.01,64.35,100,18,3.71
241,Krupanj,RS,2020-11-24 23:24:20,44.37,19.36,39.2,100,40,6.93
242,Boa Vista,BR,2020-11-24 23:24:20,2.82,-60.67,80.6,78,75,5.82
243,Korla,CN,2020-11-24 23:20:31,41.76,86.15,17.15,87,0,2.13
244,Ancud,CL,2020-11-24 23:24:20,-41.87,-73.82,55.99,76,40,11.41
245,Rundu,NA,2020-11-24 23:24:20,-17.93,19.77,70.47,80,100,4.88
246,Aras,ES,2020-11-24 23:24:20,42.56,-2.36,39.99,100,100,4.45
247,Souillac,MU,2020-11-24 23:24:20,-20.52,57.52,75.2,88,75,10.29
248,Tiksi,RU,2020-11-24 23:24:20,71.69,128.87,-1.7,92,100,8.08
249,Sao Joao Da Barra,BR,2020-11-24 23:23:25,-21.64,-41.05,72.77,85,97,10.09
250,Saldanha,ZA,2020-11-24 23:24:21,-33.01,17.94,53.6,76,58,1.12
251,Broome,US,2020-11-24 23:24:21,42.25,-75.83,30.99,68,1,3.36
252,Port Hardy,CA,2020-11-24 23:24:21,50.7,-127.42,44.6,87,75,4.7
253,Paralimni,CY,2020-11-24 23:24:21,35.04,33.98,57.2,71,0,8.05
254,Bereda,ES,2020-11-24 23:24:21,43.27,-7.54,53.01,99,94,7.0
255,Olafsvik,IS,2020-11-24 23:24:21,64.89,-23.71,34.97,84,73,15.57
256,Ingham,US,2020-11-24 23:24:21,42.6,-84.38,34.0,100,90,11.41
257,Lisala,CD,2020-11-24 23:24:21,2.15,21.52,70.11,93,17,1.92
258,Chihuahua,MX,2020-11-24 23:24:21,28.5,-106.0,80.6,7,5,14.99
259,Kirkland Lake,CA,2020-11-24 23:24:22,48.14,-80.04,15.8,72,100,7.72
260,Coahuayana,MX,2020-11-24 23:24:22,18.73,-103.68,84.04,64,0,3.96
261,Zaragoza,ES,2020-11-24 23:23:59,41.66,-0.88,41.0,86,20,5.82
262,Beringovskiy,RU,2020-11-24 23:24:22,63.05,179.32,20.82,96,100,19.04
263,Barcelos,PT,2020-11-24 23:24:22,41.54,-8.62,55.4,93,40,19.46
264,San Juan,AR,2020-11-24 23:20:02,-31.54,-68.54,81.82,24,0,10.07
265,Santa Rosalia,MX,2020-11-24 23:24:22,27.32,-112.28,69.8,43,0,5.93
266,Tanabe,JP,2020-11-24 23:24:22,33.73,135.37,57.2,76,75,5.82
267,Arlit,NE,2020-11-24 23:20:28,18.74,7.39,70.18,24,0,7.07
268,Tual,ID,2020-11-24 23:24:22,-5.67,132.75,84.33,67,100,4.14
269,Carauari,BR,2020-11-24 23:24:22,-4.88,-66.9,76.26,92,99,1.79
270,Coracao De Maria,BR,2020-11-24 23:24:22,-12.23,-38.75,69.22,87,3,6.85
271,Shasta Lake,US,2020-11-24 23:20:35,40.68,-122.37,66.99,32,15,3.18
272,Krasnaya Gora,RU,2020-11-24 23:24:23,53.0,31.6,39.2,100,90,11.18
273,Wilmington,US,2020-11-24 23:22:03,34.23,-77.94,48.2,66,1,4.21
274,Vestmannaeyjar,IS,2020-11-24 23:24:23,63.44,-20.27,36.77,78,85,9.53
275,Limbang,MY,2020-11-24 23:22:03,4.75,115.0,75.2,94,75,5.82
276,Grand Gaube,MU,2020-11-24 23:24:23,-20.01,57.66,75.99,78,12,5.01
277,Oranjestad,AW,2020-11-24 23:20:41,12.52,-70.03,84.2,74,20,17.22
278,Nacala,MZ,2020-11-24 23:24:23,-14.54,40.67,78.67,83,21,8.66
