City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Maralal,KE,1.1,36.7,60.3,92,47,7.74,light rain
294,Krasnoselkup,RU,65.7,82.47,-5.3,91,4,8.46,clear sky
295,Pevek,RU,69.7,170.31,12.9,97,100,3.06,overcast clouds
296,Nizhniy Odes,RU,63.64,54.86,10.6,96,100,3.42,overcast clouds
297,Natitingou,BJ,10.3,1.38,78.8,78,20,2.24,few clouds
298,Meulaboh,ID,4.14,96.13,75.25,87,81,3.02,light rain
299,Porto Novo,BJ,6.5,2.6,82.4,83,40,11.41,scattered clouds
300,Noshiro,JP,40.2,140.02,40.12,72,100,10.45,light rain
301,La Asuncion,VE,11.03,-63.86,87.8,62,50,13.87,scattered clouds
302,Portland,US,45.52,-122.68,42.8,86,90,1.21,mist
303,Flinders,AU,-34.58,150.86,84.0,51,100,7.0,overcast clouds
304,Ogdensburg,US,44.69,-75.49,42.8,70,90,10.29,overcast clouds
305,Cortez,US,37.35,-108.59,37.4,51,1,4.7,clear sky
306,Warrington,GB,53.39,-2.58,48.2,93,90,5.82,mist
307,Kadnikov,RU,59.5,40.34,19.2,97,98,7.61,overcast clouds
308,Foumban,CM,5.73,10.9,70.5,45,100,2.98,overcast clouds
309,Nishihara,JP,26.18,127.76,68.0,60,75,11.41,broken clouds
310,Yafran,LY,32.06,12.53,56.91,40,3,11.25,clear sky
311,Kiama,AU,-34.68,150.87,84.0,51,100,7.0,overcast clouds
312,Kanluran,PH,14.42,120.85,78.8,88,40,5.82,scattered clouds
313,Lorengau,PG,-2.02,147.27,82.33,79,100,8.86,light rain
314,Kahului,US,20.89,-156.47,73.4,78,40,9.17,light rain
315,Leshukonskoye,RU,64.9,45.76,15.78,96,14,6.06,few clouds
316,Wewak,PG,-3.55,143.63,77.85,85,84,7.34,light rain
317,Jiamusi,CN,46.83,130.35,3.99,92,0,7.78,clear sky
318,Bud,US,39.45,-86.18,46.0,45,1,4.54,clear sky
319,Ust-Nera,RU,64.57,143.2,-11.65,81,56,3.15,broken clouds
320,Digby,CA,44.62,-65.77,45.0,84,70,4.0,broken clouds
321,Faanui,PF,-16.48,-151.75,80.67,76,0,7.23,clear sky
322,Matara,LK,5.95,80.54,76.55,85,100,2.91,overcast clouds
323,Mehran,IR,33.12,46.16,48.2,93,90,9.17,heavy intensity rain
324,Diffa,NE,13.32,12.61,71.67,22,0,5.1,clear sky
325,Ogaminana,NG,7.59,6.22,82.87,41,9,2.15,clear sky
326,Bilibino,RU,68.05,166.44,0.66,91,100,2.44,overcast clouds
327,Lieksa,FI,63.32,30.02,24.6,97,16,7.02,few clouds
328,Fukue,JP,32.69,128.84,51.24,67,88,15.55,overcast clouds
329,Fort Nelson,CA,58.81,-122.7,-2.2,77,20,4.7,few clouds
330,Buenaventura,CO,3.88,-77.03,84.22,70,100,5.84,light rain
331,Asau,RO,46.43,26.4,34.0,87,100,2.35,overcast clouds
332,Bumba,CD,2.18,22.47,74.43,87,100,2.59,overcast clouds
333,Panaba,MX,21.28,-88.27,83.62,62,0,6.11,clear sky
334,Aswan,EG,24.09,32.91,62.2,38,0,9.69,clear sky
335,Rocha,UY,-34.48,-54.33,79.84,67,80,13.0,broken clouds
336,Samsun,TR,41.25,36.33,44.6,81,0,5.82,clear sky
337,Mahebourg,MU,-20.41,57.7,75.2,73,40,6.93,scattered clouds
338,Fazilka,IN,30.4,74.03,61.3,28,73,3.89,broken clouds
339,Rumuruti,KE,0.27,36.54,60.01,92,41,13.38,scattered clouds
